b1,s10,s0_5,0,20,0.0
b1,s10,s0_1,100,120,0.0
b1,s10,s0_1,120,140,0.8
b1,s10,s0_5,140,160,176.1
b1,s10,s0_1,160,180,2.6
b1,s10,s0_1,180,200,177.9
b1,s10,s0_1,200,220,3.5
b1,s10,s0_1,20,40,0.0
b1,s10,s0_1,220,240,0.0
b1,s10,s0_5,240,260,0.0
b1,s10,s0_1,260,280,3.5
b1,s10,s0_1,280,300,1.1
b1,s10,s0_5,40,60,0.0
b1,s10,s0_5,60,80,3.4
b1,s10,s0_1,80,100,0.0
b1,s1,s0_3,0,20,90.0
b1,s1,s0_3,100,120,91.1
b1,s1,s0_3,120,140,90.0
b1,s1,s0_3,140,160,88.9
b1,s1,s0_3,160,180,85.6
b1,s1,s0_3,180,200,90.0
b1,s1,s0_3,200,220,94.2
b1,s1,s0_3,20,40,84.8
b1,s1,s0_3,220,240,91.0
b1,s1,s0_3,240,260,91.5
b1,s1,s0_3,260,280,87.3
b1,s1,s0_3,280,300,96.6
b1,s1,s0_3,40,60,95.4
b1,s1,s0_3,60,80,91.2
b1,s1,s0_3,80,100,88.8
b1,s2,s0_3,0,20,94.9
b1,s2,s0_3,100,120,90.0
b1,s2,s0_4,120,140,122.4
b1,s2,s0_3,140,160,104.6
b1,s2,s0_3,160,180,89.4
b1,s2,s0_5,180,200,101.5
b1,s2,s0_4,200,220,121.2
b1,s2,s0_4,20,40,114.0
b1,s2,s0_3,220,240,82.3
b1,s2,s0_3,240,260,90.2
b1,s2,s0_3,260,280,99.9
b1,s2,s0_3,280,300,94.4
b1,s2,s0_3,40,60,88.4
b1,s2,s0_3,60,80,91.3
b1,s2,s0_3,80,100,115.8
b1,s3,s0_2,0,20,96.5
b1,s3,s0_4,100,120,77.5
b1,s3,s0_2,120,140,76.9
b1,s3,s0_4,140,160,76.8
b1,s3,s0_3,160,180,90.5
b1,s3,s0_2,180,200,45.0
b1,s3,s0_3,200,220,68.4
b1,s3,s0_3,20,40,95.5
b1,s3,s0_5,220,240,58.3
b1,s3,s0_3,240,260,71.3
b1,s3,s0_3,260,280,95.0
b1,s3,s0_3,280,300,80.8
b1,s3,s0_3,40,60,83.1
b1,s3,s0_4,60,80,57.0
b1,s3,s0_3,80,100,70.9
b1,s4,s0_4,0,20,131.5
b1,s4,s0_1,100,120,34.8
b1,s4,s0_3,120,140,79.0
b1,s4,s0_2,140,160,68.2
b1,s4,s0_3,160,180,86.8
b1,s4,s0_3,180,200,96.5
b1,s4,s0_3,200,220,66.6
b1,s4,s0_3,20,40,90.0
b1,s4,s0_1,220,240,142.7
b1,s4,s0_3,240,260,50.5
b1,s4,s0_3,260,280,90.0
b1,s4,s0_4,280,300,135.0
b1,s4,s0_1,40,60,154.5
b1,s4,s0_4,60,80,113.8
b1,s4,s0_2,80,100,106.6
b1,s5,s0_2,0,20,39.1
b1,s5,s0_2,100,120,30.8
b1,s5,s0_2,120,140,31.1
b1,s5,s0_2,140,160,32.1
b1,s5,s0_2,160,180,31.5
b1,s5,s0_2,180,200,31.3
b1,s5,s0_2,200,220,33.4
b1,s5,s0_2,20,40,8.9
b1,s5,s0_2,220,240,34.5
b1,s5,s0_2,240,260,29.3
b1,s5,s0_2,260,280,28.6
b1,s5,s0_2,280,300,33.7
b1,s5,s0_2,40,60,35.1
b1,s5,s0_2,60,80,34.1
b1,s5,s0_2,80,100,28.3
b1,s6,s0_4,0,20,127.5
b1,s6,s0_4,100,120,132.5
b1,s6,s0_4,120,140,124.5
b1,s6,s0_4,140,160,123.6
b1,s6,s0_4,160,180,123.8
b1,s6,s0_4,180,200,126.2
b1,s6,s0_4,200,220,125.3
b1,s6,s0_4,20,40,126.8
b1,s6,s0_4,220,240,125.6
b1,s6,s0_4,240,260,119.1
b1,s6,s0_4,260,280,125.5
b1,s6,s0_4,280,300,127.7
b1,s6,s0_4,40,60,125.7
b1,s6,s0_4,60,80,119.1
b1,s6,s0_4,80,100,124.7
b1,s7,s0_4,0,20,132.7
b1,s7,s0_4,100,120,135.0
b1,s7,s0_4,120,140,128.6
b1,s7,s0_4,140,160,125.2
b1,s7,s0_4,160,180,129.5
b1,s7,s0_4,180,200,138.7
b1,s7,s0_4,200,220,137.6
b1,s7,s0_4,20,40,127.7
b1,s7,s0_4,220,240,129.5
b1,s7,s0_4,240,260,126.7
b1,s7,s0_4,260,280,132.0
b1,s7,s0_4,280,300,132.7
b1,s7,s0_4,40,60,130.3
b1,s7,s0_4,60,80,125.6
b1,s7,s0_4,80,100,131.5
b1,s8,s0_5,0,20,173.2
b1,s8,s0_5,100,120,170.1
b1,s8,s0_5,120,140,170.5
b1,s8,s0_1,140,160,164.8
b1,s8,s0_1,160,180,166.9
b1,s8,s0_5,180,200,172.0
b1,s8,s0_5,200,220,171.5
b1,s8,s0_5,20,40,178.2
b1,s8,s0_1,220,240,165.5
b1,s8,s0_1,240,260,171.4
b1,s8,s0_5,260,280,170.5
b1,s8,s0_5,280,300,168.3
b1,s8,s0_5,40,60,169.6
b1,s8,s0_1,60,80,172.9
b1,s8,s0_5,80,100,171.4
b1,s9,s0_4,0,20,154.7
b1,s9,s0_4,100,120,151.5
b1,s9,s0_4,120,140,155.1
b1,s9,s0_4,140,160,154.2
b1,s9,s0_4,160,180,152.6
b1,s9,s0_4,180,200,155.3
b1,s9,s0_4,200,220,157.8
b1,s9,s0_4,20,40,153.8
b1,s9,s0_4,220,240,151.7
b1,s9,s0_4,240,260,151.4
b1,s9,s0_4,260,280,155.1
b1,s9,s0_4,280,300,153.5
b1,s9,s0_4,40,60,155.7
b1,s9,s0_4,60,80,149.6
b1,s9,s0_4,80,100,155.3
b2,s10,s0_3,0,20,118.3
b2,s10,s0_2,100,120,28.3
b2,s10,s0_5,120,140,39.3
b2,s10,s0_3,160,180,90.0
b2,s10,s0_2,180,200,52.9
b2,s10,s0_1,200,220,98.5
b2,s10,s0_3,20,40,77.3
b2,s10,s0_3,220,240,119.7
b2,s10,s0_4,240,260,81.3
b2,s10,s0_2,260,280,60.9
b2,s10,s0_1,280,300,157.6
b2,s10,s0_3,40,60,71.4
b2,s10,s0_2,60,80,62.9
b2,s10,s0_4,80,100,76.4
b2,s1,s0_3,0,20,90.0
b2,s1,s0_3,100,120,85.9
b2,s1,s0_3,120,140,89.1
b2,s1,s0_3,140,160,89.9
b2,s1,s0_3,160,180,85.5
b2,s1,s0_3,180,200,92.0
b2,s1,s0_3,200,220,83.0
b2,s1,s0_3,20,40,89.5
b2,s1,s0_3,220,240,85.3
b2,s1,s0_3,240,260,90.5
b2,s1,s0_3,260,280,79.6
b2,s1,s0_3,280,300,90.0
b2,s1,s0_3,40,60,90.0
b2,s1,s0_3,60,80,89.0
b2,s1,s0_3,80,100,90.0
b2,s2,s0_3,0,20,99.0
b2,s2,s0_3,100,120,95.5
b2,s2,s0_3,120,140,102.3
b2,s2,s0_3,140,160,98.0
b2,s2,s0_3,160,180,99.7
b2,s2,s0_3,180,200,104.8
b2,s2,s0_3,200,220,96.5
b2,s2,s0_3,20,40,102.8
b2,s2,s0_3,220,240,95.6
b2,s2,s0_3,240,260,100.8
b2,s2,s0_3,260,280,103.9
b2,s2,s0_3,280,300,102.2
b2,s2,s0_3,40,60,101.6
b2,s2,s0_3,60,80,101.3
b2,s2,s0_3,80,100,97.6
b2,s3,s0_3,0,20,90.0
b2,s3,s0_3,100,120,89.6
b2,s3,s0_3,120,140,90.0
b2,s3,s0_4,140,160,132.6
b2,s3,s0_3,160,180,109.9
b2,s3,s0_5,180,200,57.0
b2,s3,s0_3,200,220,97.9
b2,s3,s0_4,20,40,106.1
b2,s3,s0_3,220,240,90.0
b2,s3,s0_3,240,260,108.5
b2,s3,s0_3,260,280,100.2
b2,s3,s0_3,280,300,90.0
b2,s3,s0_3,40,60,106.0
b2,s3,s0_3,60,80,91.3
b2,s3,s0_4,80,100,119.6
b2,s4,s0_4,0,20,129.6
b2,s4,s0_4,100,120,123.8
b2,s4,s0_3,120,140,122.3
b2,s4,s0_4,140,160,121.8
b2,s4,s0_4,160,180,126.7
b2,s4,s0_3,180,200,111.0
b2,s4,s0_4,200,220,117.5
b2,s4,s0_4,20,40,124.8
b2,s4,s0_3,220,240,112.5
b2,s4,s0_2,240,260,100.8
b2,s4,s0_4,260,280,124.8
b2,s4,s0_3,280,300,114.1
b2,s4,s0_2,40,60,104.8
b2,s4,s0_4,60,80,118.3
b2,s4,s0_4,80,100,113.3
b2,s5,s0_3,0,20,90.0
b2,s5,s0_1,100,120,110.7
b2,s5,s0_3,120,140,95.6
b2,s5,s0_2,140,160,52.8
b2,s5,s0_4,160,180,36.7
b2,s5,s0_4,180,200,72.5
b2,s5,s0_3,200,220,77.7
b2,s5,s0_2,20,40,24.3
b2,s5,s0_2,220,240,57.7
b2,s5,s0_3,240,260,66.1
b2,s5,s0_3,260,280,84.7
b2,s5,s0_2,280,300,27.1
b2,s5,s0_3,40,60,90.0
b2,s5,s0_3,60,80,81.8
b2,s5,s0_2,80,100,26.4
b2,s6,s0_2,0,20,58.7
b2,s6,s0_2,100,120,56.1
b2,s6,s0_2,120,140,51.6
b2,s6,s0_2,140,160,58.1
b2,s6,s0_2,160,180,57.7
b2,s6,s0_2,180,200,57.7
b2,s6,s0_2,200,220,55.0
b2,s6,s0_2,20,40,60.1
b2,s6,s0_2,220,240,56.1
b2,s6,s0_2,240,260,52.2
b2,s6,s0_2,260,280,59.4
b2,s6,s0_2,280,300,60.5
b2,s6,s0_2,40,60,58.4
b2,s6,s0_2,60,80,60.1
b2,s6,s0_2,80,100,52.8
b2,s7,s0_3,0,20,73.4
b2,s7,s0_2,100,120,62.1
b2,s7,s0_2,120,140,57.7
b2,s7,s0_3,140,160,70.1
b2,s7,s0_2,160,180,64.8
b2,s7,s0_2,180,200,64.7
b2,s7,s0_2,200,220,61.9
b2,s7,s0_2,20,40,65.1
b2,s7,s0_2,220,240,62.7
b2,s7,s0_2,240,260,59.6
b2,s7,s0_2,260,280,64.7
b2,s7,s0_2,280,300,66.0
b2,s7,s0_2,40,60,64.2
b2,s7,s0_2,60,80,64.3
b2,s7,s0_2,80,100,60.3
b2,s8,s0_1,0,20,176.9
b2,s8,s0_1,100,120,12.1
b2,s8,s0_1,120,140,15.4
b2,s8,s0_1,140,160,174.7
b2,s8,s0_5,160,180,14.6
b2,s8,s0_5,180,200,17.4
b2,s8,s0_1,200,220,19.3
b2,s8,s0_5,20,40,19.0
b2,s8,s0_1,220,240,13.9
b2,s8,s0_1,240,260,15.6
b2,s8,s0_1,260,280,18.9
b2,s8,s0_5,280,300,13.3
b2,s8,s0_5,40,60,11.4
b2,s8,s0_5,60,80,14.0
b2,s8,s0_5,80,100,18.9
b2,s9,s0_2,0,20,22.9
b2,s9,s0_2,100,120,46.8
b2,s9,s0_2,120,140,38.3
b2,s9,s0_2,140,160,47.8
b2,s9,s0_2,160,180,43.8
b2,s9,s0_2,180,200,41.4
b2,s9,s0_2,200,220,45.0
b2,s9,s0_2,20,40,46.6
b2,s9,s0_2,220,240,32.8
b2,s9,s0_2,240,260,44.6
b2,s9,s0_2,260,280,45.1
b2,s9,s0_2,280,300,46.7
b2,s9,s0_2,40,60,52.7
b2,s9,s0_2,60,80,45.0
b2,s9,s0_2,80,100,45.0
b3,s10,s0_2,0,20,43.4
b3,s10,s0_3,100,120,72.0
b3,s10,s0_4,120,140,48.5
b3,s10,s0_5,140,160,56.5
b3,s10,s0_1,160,180,62.8
b3,s10,s0_1,180,200,163.6
b3,s10,s0_4,200,220,135.0
b3,s10,s0_3,20,40,143.4
b3,s10,s0_3,220,240,113.0
b3,s10,s0_5,240,260,154.3
b3,s10,s0_4,260,280,146.9
b3,s10,s0_3,280,300,90.0
b3,s10,s0_1,40,60,132.7
b3,s10,s0_3,60,80,162.7
b3,s10,s0_1,80,100,74.9
b3,s1,s0_3,0,20,87.2
b3,s1,s0_3,100,120,90.2
b3,s1,s0_3,120,140,89.5
b3,s1,s0_3,140,160,90.0
b3,s1,s0_3,160,180,90.0
b3,s1,s0_3,180,200,89.0
b3,s1,s0_3,200,220,80.9
b3,s1,s0_3,20,40,90.0
b3,s1,s0_3,220,240,89.4
b3,s1,s0_3,240,260,90.0
b3,s1,s0_3,260,280,93.9
b3,s1,s0_3,280,300,90.0
b3,s1,s0_3,40,60,90.0
b3,s1,s0_3,60,80,89.0
b3,s1,s0_3,80,100,85.4
b3,s2,s0_3,0,20,83.0
b3,s2,s0_3,100,120,82.7
b3,s2,s0_3,120,140,86.2
b3,s2,s0_3,140,160,89.0
b3,s2,s0_3,160,180,84.7
b3,s2,s0_3,180,200,85.7
b3,s2,s0_3,200,220,77.1
b3,s2,s0_3,20,40,81.8
b3,s2,s0_3,220,240,80.9
b3,s2,s0_3,240,260,90.0
b3,s2,s0_3,260,280,83.6
b3,s2,s0_3,280,300,90.0
b3,s2,s0_3,40,60,87.8
b3,s2,s0_3,60,80,83.1
b3,s2,s0_3,80,100,82.5
b3,s3,s0_3,0,20,102.1
b3,s3,s0_3,100,120,102.6
b3,s3,s0_3,120,140,103.6
b3,s3,s0_3,140,160,98.9
b3,s3,s0_3,160,180,98.1
b3,s3,s0_3,180,200,94.6
b3,s3,s0_3,200,220,101.0
b3,s3,s0_3,20,40,100.4
b3,s3,s0_3,220,240,92.2
b3,s3,s0_3,240,260,98.9
b3,s3,s0_3,260,280,106.0
b3,s3,s0_3,280,300,94.9
b3,s3,s0_3,40,60,101.2
b3,s3,s0_3,60,80,96.6
b3,s3,s0_3,80,100,98.2
b3,s4,s0_3,0,20,90.1
b3,s4,s0_3,100,120,89.7
b3,s4,s0_3,120,140,90.6
b3,s4,s0_3,140,160,90.0
b3,s4,s0_3,160,180,90.0
b3,s4,s0_3,180,200,90.0
b3,s4,s0_3,200,220,85.9
b3,s4,s0_3,20,40,89.0
b3,s4,s0_3,220,240,90.0
b3,s4,s0_3,240,260,90.0
b3,s4,s0_3,260,280,91.5
b3,s4,s0_3,280,300,90.0
b3,s4,s0_3,40,60,90.0
b3,s4,s0_3,60,80,89.9
b3,s4,s0_3,80,100,89.9
b3,s5,s0_5,0,20,89.4
b3,s5,s0_3,100,120,87.4
b3,s5,s0_4,120,140,135.0
b3,s5,s0_3,140,160,90.0
b3,s5,s0_4,160,180,133.1
b3,s5,s0_3,180,200,74.7
b3,s5,s0_2,200,220,21.2
b3,s5,s0_3,20,40,67.5
b3,s5,s0_3,220,240,102.8
b3,s5,s0_3,240,260,72.8
b3,s5,s0_4,260,280,99.9
b3,s5,s0_3,280,300,53.9
b3,s5,s0_5,40,60,82.8
b3,s5,s0_3,60,80,88.0
b3,s5,s0_3,80,100,120.3
b3,s6,s0_3,0,20,78.3
b3,s6,s0_3,100,120,87.2
b3,s6,s0_3,120,140,82.0
b3,s6,s0_3,140,160,73.1
b3,s6,s0_3,160,180,86.5
b3,s6,s0_3,180,200,81.8
b3,s6,s0_3,200,220,82.9
b3,s6,s0_3,20,40,77.5
b3,s6,s0_3,220,240,82.6
b3,s6,s0_3,240,260,81.9
b3,s6,s0_3,260,280,91.1
b3,s6,s0_3,280,300,90.0
b3,s6,s0_3,40,60,100.7
b3,s6,s0_3,60,80,92.4
b3,s6,s0_3,80,100,83.2
b3,s7,s0_2,0,20,91.0
b3,s7,s0_3,100,120,78.4
b3,s7,s0_3,120,140,103.3
b3,s7,s0_3,140,160,79.8
b3,s7,s0_3,160,180,88.1
b3,s7,s0_3,180,200,75.7
b3,s7,s0_3,200,220,72.8
b3,s7,s0_3,20,40,84.2
b3,s7,s0_3,220,240,90.0
b3,s7,s0_3,240,260,90.0
b3,s7,s0_2,260,280,87.2
b3,s7,s0_3,280,300,90.0
b3,s7,s0_3,40,60,84.3
b3,s7,s0_3,60,80,75.5
b3,s7,s0_3,80,100,70.8
b3,s8,s0_4,0,20,13.3
b3,s8,s0_4,100,120,51.1
b3,s8,s0_2,120,140,45.0
b3,s8,s0_1,140,160,113.3
b3,s8,s0_3,160,180,96.8
b3,s8,s0_5,180,200,34.7
b3,s8,s0_5,200,220,173.5
b3,s8,s0_2,20,40,64.7
b3,s8,s0_3,220,240,90.0
b3,s8,s0_3,240,260,136.5
b3,s8,s0_4,260,280,124.4
b3,s8,s0_3,280,300,94.6
b3,s8,s0_5,40,60,157.8
b3,s8,s0_4,60,80,113.7
b3,s8,s0_3,80,100,90.0
b3,s9,s0_4,0,20,80.4
b3,s9,s0_3,100,120,65.4
b3,s9,s0_3,120,140,88.8
b3,s9,s0_3,140,160,73.3
b3,s9,s0_1,160,180,64.3
b3,s9,s0_3,180,200,51.6
b3,s9,s0_1,200,220,82.5
b3,s9,s0_4,20,40,165.7
b3,s9,s0_3,220,240,76.2
b3,s9,s0_4,240,260,107.9
b3,s9,s0_4,260,280,65.1
b3,s9,s0_3,280,300,90.0
b3,s9,s0_3,40,60,99.8
b3,s9,s0_3,60,80,90.0
b3,s9,s0_4,80,100,10.9
b4,s10,s0_1,0,20,0.0
b4,s10,s0_1,100,120,1.4
b4,s10,s0_1,120,140,0.0
b4,s10,s0_1,140,160,0.0
b4,s10,s0_1,160,180,3.7
b4,s10,s0_1,180,200,0.0
b4,s10,s0_1,200,220,0.0
b4,s10,s0_1,20,40,178.8
b4,s10,s0_1,220,240,0.0
b4,s10,s0_5,240,260,3.4
b4,s10,s0_1,260,280,0.0
b4,s10,s0_1,280,300,0.0
b4,s10,s0_5,40,60,3.1
b4,s10,s0_1,60,80,0.0
b4,s10,s0_5,80,100,0.0
b4,s1,s0_3,0,20,90.0
b4,s1,s0_3,100,120,90.0
b4,s1,s0_3,120,140,83.0
b4,s1,s0_3,140,160,90.0
b4,s1,s0_3,160,180,87.2
b4,s1,s0_3,180,200,88.9
b4,s1,s0_3,200,220,90.0
b4,s1,s0_3,20,40,83.1
b4,s1,s0_3,220,240,90.0
b4,s1,s0_3,240,260,86.4
b4,s1,s0_3,260,280,90.0
b4,s1,s0_3,280,300,89.1
b4,s1,s0_3,40,60,96.4
b4,s1,s0_3,60,80,85.6
b4,s1,s0_3,80,100,93.4
b4,s2,s0_3,0,20,84.1
b4,s2,s0_3,100,120,74.5
b4,s2,s0_3,120,140,80.2
b4,s2,s0_3,140,160,73.6
b4,s2,s0_3,160,180,82.1
b4,s2,s0_1,180,200,154.2
b4,s2,s0_3,200,220,70.7
b4,s2,s0_2,20,40,66.6
b4,s2,s0_3,220,240,84.1
b4,s2,s0_2,240,260,48.6
b4,s2,s0_3,260,280,90.0
b4,s2,s0_2,280,300,69.2
b4,s2,s0_3,40,60,76.8
b4,s2,s0_3,60,80,84.3
b4,s2,s0_2,80,100,53.6
b4,s3,s0_3,0,20,71.3
b4,s3,s0_2,100,120,62.6
b4,s3,s0_2,120,140,51.1
b4,s3,s0_2,140,160,58.7
b4,s3,s0_2,160,180,59.4
b4,s3,s0_3,180,200,75.6
b4,s3,s0_2,200,220,59.8
b4,s3,s0_2,20,40,55.8
b4,s3,s0_2,220,240,62.0
b4,s3,s0_2,240,260,55.8
b4,s3,s0_2,260,280,61.7
b4,s3,s0_2,280,300,58.7
b4,s3,s0_2,40,60,53.9
b4,s3,s0_2,60,80,63.3
b4,s3,s0_2,80,100,66.2
b4,s4,s0_2,0,20,65.0
b4,s4,s0_2,100,120,55.1
b4,s4,s0_2,120,140,45.0
b4,s4,s0_2,140,160,46.6
b4,s4,s0_4,160,180,69.7
b4,s4,s0_2,180,200,59.6
b4,s4,s0_2,200,220,57.9
b4,s4,s0_2,20,40,50.9
b4,s4,s0_2,220,240,56.5
b4,s4,s0_2,240,260,50.9
b4,s4,s0_2,260,280,54.3
b4,s4,s0_3,280,300,52.3
b4,s4,s0_2,40,60,63.4
b4,s4,s0_2,60,80,51.8
b4,s4,s0_2,80,100,61.1
b4,s5,s0_4,0,20,139.4
b4,s5,s0_4,100,120,140.8
b4,s5,s0_4,120,140,138.4
b4,s5,s0_4,140,160,149.6
b4,s5,s0_4,160,180,143.5
b4,s5,s0_4,180,200,148.8
b4,s5,s0_4,200,220,142.9
b4,s5,s0_4,20,40,142.1
b4,s5,s0_4,220,240,147.7
b4,s5,s0_4,240,260,135.6
b4,s5,s0_4,260,280,142.2
b4,s5,s0_4,280,300,139.5
b4,s5,s0_4,40,60,148.6
b4,s5,s0_4,60,80,146.8
b4,s5,s0_4,80,100,147.7
b4,s6,s0_4,0,20,124.6
b4,s6,s0_5,100,120,81.6
b4,s6,s0_3,120,140,80.3
b4,s6,s0_4,160,180,106.7
b4,s6,s0_3,180,200,97.7
b4,s6,s0_4,200,220,116.4
b4,s6,s0_2,20,40,60.1
b4,s6,s0_4,220,240,42.5
b4,s6,s0_1,240,260,78.9
b4,s6,s0_4,260,280,60.9
b4,s6,s0_3,280,300,77.4
b4,s6,s0_4,40,60,112.2
b4,s6,s0_2,80,100,59.7
b4,s7,s0_3,0,20,66.2
b4,s7,s0_2,100,120,126.2
b4,s7,s0_3,120,140,36.6
b4,s7,s0_3,160,180,107.1
b4,s7,s0_3,180,200,92.3
b4,s7,s0_3,200,220,75.0
b4,s7,s0_3,20,40,62.3
b4,s7,s0_3,220,240,69.5
b4,s7,s0_2,240,260,129.3
b4,s7,s0_4,260,280,124.6
b4,s7,s0_3,280,300,24.3
b4,s7,s0_5,40,60,84.4
b4,s7,s0_3,60,80,91.2
b4,s7,s0_2,80,100,52.8
b4,s8,s0_2,0,20,109.3
b4,s8,s0_2,100,120,49.9
b4,s8,s0_4,120,140,137.6
b4,s8,s0_5,140,160,160.6
b4,s8,s0_2,160,180,43.8
b4,s8,s0_1,200,220,133.3
b4,s8,s0_2,20,40,127.1
b4,s8,s0_1,220,240,135.1
b4,s8,s0_4,240,260,135.0
b4,s8,s0_1,260,280,75.2
b4,s8,s0_4,280,300,170.4
b4,s8,s0_3,40,60,147.2
b4,s8,s0_4,60,80,144.7
b4,s8,s0_4,80,100,111.1
b4,s9,s0_3,0,20,74.4
b4,s9,s0_5,100,120,114.4
b4,s9,s0_3,120,140,151.5
b4,s9,s0_3,140,160,86.4
b4,s9,s0_4,160,180,118.4
b4,s9,s0_1,180,200,146.7
b4,s9,s0_4,200,220,138.9
b4,s9,s0_4,20,40,135.0
b4,s9,s0_5,220,240,28.8
b4,s9,s0_4,240,260,122.6
b4,s9,s0_3,260,280,88.5
b4,s9,s0_3,280,300,90.0
b4,s9,s0_4,40,60,104.1
b4,s9,s0_3,60,80,94.1
b4,s9,s0_4,80,100,101.3
